NAME                                          READY     STATUS    RESTARTS   AGE       IP             NODE                                NOMINATED NODE
magicbox-584f9f6c6f-ggg2z                     1/1       Running   0          8d        10.244.2.101   cn-beijing.i-2ze7227j5jix05dr5kqv   <none>
magicbox-584f9f6c6f-msl86                     1/1       Running   0          8d        10.244.2.175   cn-beijing.i-2ze7227j5jix05dr5kqz   <none>
mongodbconfigstateful-0                       1/1       Running   6          62d       10.244.4.87    cn-beijing.i-2ze7227j5jix05dr5kqx   <none>
mongodbconfigstateful-1                       1/1       Running   6          171d      10.244.5.71    cn-beijing.i-2ze7227j5jix05dr5kqy   <none>
mongodbconfigstateful-2                       1/1       Running   13         62d       10.244.3.32    cn-beijing.i-2ze7227j5jix05dr5kqs   <none>
mongodbshardstateful-0                        1/1       Running   21         64d       10.244.2.237   cn-beijing.i-2ze7227j5jix05dr5kqz   <none>
mongodbshardstateful-1                        1/1       Running   1          49d       10.244.3.140   cn-beijing.i-2ze7227j5jix05dr5kqu   <none>
mongodbshardstateful-2                        1/1       Running   0          62d       10.244.5.79    cn-beijing.i-2ze7227j5jix05dr5kqy   <none>
mongosrouter-0                                1/1       Running   8          62d       10.244.3.29    cn-beijing.i-2ze7227j5jix05dr5kqs   <none>
mongosrouter-1                                1/1       Running   1          62d       10.244.5.76    cn-beijing.i-2ze7227j5jix05dr5kqy   <none>
mysql-master-0                                1/1       Running   0          49d       10.244.2.122   cn-beijing.i-2ze7227j5jix05dr5kqv   <none>
neagle-deploy-8494cb6bc5-hnvxk                1/1       Running   0          8d        10.244.1.251   cn-beijing.i-2ze7227j5jix05dr5kqt   <none>
npigeon-6fc675779c-p9n2z                      1/1       Running   0          1d        10.244.1.145   cn-beijing.i-2ze7227j5jix05dr5kqt   <none>
nt-auth-agent-657c6dd5dc-lft9z                1/1       Running   10         44d       10.244.2.79    cn-beijing.i-2ze7227j5jix05dr5kqv   <none>
nt-crocodile-deploy-5f6bdf8db6-gb8ch          1/1       Running   5          5d        10.244.2.113   cn-beijing.i-2ze7227j5jix05dr5kqv   <none>
nt-datahub-568d94df6c-45fbx                   1/1       Running   0          19d       10.244.1.193   cn-beijing.i-2ze7227j5jix05dr5kqt   <none>
nt-datahub-recovery-96f776b7b-k8s8q           1/1       Running   0          14d       10.244.1.217   cn-beijing.i-2ze7227j5jix05dr5kqt   <none>
nt-etl-service-fc4d5cdb-f7dj9                 1/1       Running   0          19d       10.244.3.228   cn-beijing.i-2ze7227j5jix05dr5kqu   <none>
nt-report-svc-646c46f9c5-jswz9                1/1       Running   0          8d        10.244.4.65    cn-beijing.i-2ze7227j5jix05dr5kqx   <none>
nt-thirdparty-agent-deploy-747477f67b-pffv6   1/1       Running   17         30d       10.244.2.57    cn-beijing.i-2ze7227j5jix05dr5kqv   <none>
nt-traslation-7865c8dd4-5d274                 1/1       Running   0          49d       10.244.3.135   cn-beijing.i-2ze7227j5jix05dr5kqu   <none>
nt-traslation-7865c8dd4-zw4c8                 1/1       Running   4          203d      10.244.5.62    cn-beijing.i-2ze7227j5jix05dr5kqy   <none>
oa-758cf4bd4b-dtnw5                           2/2       Running   6          64d       10.244.3.96    cn-beijing.i-2ze7227j5jix05dr5kqs   <none>
oa-celery-6f98f4d8b4-8fntn                    2/2       Running   10         181d      10.244.5.77    cn-beijing.i-2ze7227j5jix05dr5kqy   <none>
posthaste-6b754cc657-c8dfj                    1/1       Running   0          62d       10.244.5.78    cn-beijing.i-2ze7227j5jix05dr5kqy   <none>
quality-67c47475d7-8lbww                      1/1       Running   5          190d      10.244.5.66    cn-beijing.i-2ze7227j5jix05dr5kqy   <none>
redis-67b76d87bc-j26c9                        1/1       Running   0          39d       10.244.4.224   cn-beijing.i-2ze7227j5jix05dr5kqw   <none>
redis-oa-55b5ccfb75-zjw9p                     1/1       Running   4          216d      10.244.5.65    cn-beijing.i-2ze7227j5jix05dr5kqy   <none>
sitecenter-deploy-65d957cb8d-6g2q7            1/1       Running   0          30d       10.244.2.139   cn-beijing.i-2ze7227j5jix05dr5kqz   <none>
